OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime
1,74,Moderate,Ozone 8-hr,3,Grass, Ragweed,2016/07/23 05:00:00+00
2,64,Moderate,Ozone 8-hr,4,Grass, Ragweed,2016/07/22 05:00:00+00
3,55,Moderate,PM2.5,3,Grass,Slight,2016/07/21 05:00:00+00
4,57,Moderate,PM2.5,4,Grass,Slight,2016/07/20 05:00:00+00
5,54,Moderate,PM2.5,3,Grass,Slight,2016/07/19 05:00:00+00
6,46,Good,Ozone 8-hr,3,Grass,Slight,2016/07/18 05:00:00+00
7,48,Good,Ozone 8-hr,3,Grass,Slight,2016/07/17 05:00:00+00
8,74,Moderate,Ozone 8-hr,3,Grass,Slight,2016/07/16 05:00:00+00
9,30,Good,Ozone 8-hr,2,Grass,Slight,2016/07/15 05:00:00+00
10,47,Good,PM2.5,2,Grass,Slight,2016/07/14 05:00:00+00
11,61,Moderate,PM2.5,3,Grass,Slight,2016/07/13 05:00:00+00
12,38,Good,PM2.5,0,Grass,Slight,2016/07/12 05:00:00+00
13,51,Moderate,PM2.5,3,Grass,Slight,2016/07/11 05:00:00+00
14,44,Good,Ozone 8-hr,3,Grass,Slight,2016/07/10 05:00:00+00
15,43,Good,PM2.5,2,Grass,Slight,2016/07/09 05:00:00+00
16,34,Good,PM2.5,4,Grass,Slight,2016/07/08 05:00:00+00
17,33,Good,PM2.5,0,Grass,Slight,2016/07/07 05:00:00+00
18,38,Good,PM2.5,3,Grass,Slight,2016/07/06 05:00:00+00
19,60,Moderate,PM2.5,0,Grass,Slight,2016/07/05 05:00:00+00
20,58,Moderate,PM2.5,2,Grass,Slight,2016/07/04 05:00:00+00
21,77,Moderate,Ozone 8-hr,3,Grass,Slight,2016/07/03 05:00:00+00
22,56,Moderate,PM2.5,3,Grass,Slight,2016/07/02 05:00:00+00
23,84,Moderate,Ozone 8-hr,3,Grass,Slight,2016/07/01 05:00:00+00
24,46,Good,Ozone 8-hr,3,Grass,Slight,2016/06/30 05:00:00+00
25,58,Moderate,Ozone 8-hr,4,Grass,Slight,2016/06/29 05:00:00+00
26,37,Good,PM2.5,3,Grass,Slight,2016/06/28 05:00:00+00
27,51,Moderate,Ozone 8-hr,0,Grass,Slight,2016/06/27 05:00:00+00
28,125,Unhealthy for Sensitive Groups,Ozone 8-hr,3,Grass,Slight,2016/06/26 05:00:00+00
29,44,Good,Ozone 8-hr,3,Grass,Slight,2016/06/25 05:00:00+00
30,52,Moderate,PM2.5,3,Grass,Slight,2016/06/24 05:00:00+00
31,44,Good,PM2.5,4,Grass, Poplar,2016/06/23 05:00:00+00
32,44,Good,PM2.5,4,Grass, Poplar,2016/06/22 05:00:00+00
33,49,Good,Ozone 8-hr,3,Grass, Poplar,2016/06/21 05:00:00+00
34,50,Good,Ozone 8-hr,4,Grass, Poplar,2016/06/20 05:00:00+00
35,56,Moderate,PM2.5,4,Grass, Poplar,2016/06/19 05:00:00+00
36,50,Good,Ozone 8-hr,4,Grass, Poplar,2016/06/18 05:00:00+00
37,51,Moderate,Ozone 8-hr,4,Grass, Poplar,2016/06/17 05:00:00+00
38,35,Good,Ozone 8-hr,4,Grass, Juniper,2016/06/16 05:00:00+00
39,42,Good,PM2.5,2,Grass, Juniper,2016/06/15 05:00:00+00
40,93,Moderate,Ozone 8-hr,4,Grass, Juniper,2016/06/14 05:00:00+00
41,64,Moderate,PM2.5,5,Grass, Juniper,2016/06/13 05:00:00+00
42,77,Moderate,Ozone 8-hr,5,Grass, Juniper,2016/06/12 05:00:00+00
43,122,Unhealthy for Sensitive Groups,Ozone 8-hr,5,Grass, Juniper,2016/06/11 05:00:00+00
44,,Not on file,,,,Not on file,2016/06/10 05:00:00+00
45,87,Moderate,Ozone 8-hr,5,Grass, Juniper,2016/06/10 05:00:00+00
46,51,Moderate,Ozone 8-hr,5,Grass, Maple,2016/06/09 05:00:00+00
47,44,Good,PM2.5,5,Grass, Maple,2016/06/08 05:00:00+00
48,50,Good,Ozone 8-hr,6,Grass, Maple,2016/06/07 05:00:00+00
49,,Not on file,,,,Not on file,2016/06/07 05:00:00+00
50,47,Good,PM2.5,6,Grass, Maple,2016/06/06 05:00:00+00
51,46,Good,PM2.5,1,Grass, Maple,2016/06/05 05:00:00+00
52,55,Moderate,PM2.5,1,Grass, Maple,2016/06/04 05:00:00+00
53,49,Good,Ozone 8-hr,2,Grass, Maple,2016/06/03 05:00:00+00
54,54,Moderate,PM2.5,4,Grass, Juniper,2016/06/02 05:00:00+00
55,77,Moderate,Ozone 8-hr,2,Grass, Juniper,2016/06/01 05:00:00+00
